t,r
0.0,0.9995003751875234
0.01,0.999001501624934
0.02,0.9985038810589207
0.03,0.9980080154737665
0.04,0.9975144065758493
0.05,0.9970235552723629
0.06,0.996535961144804
0.07,0.9960521219178138
0.08,0.9955725329239834
0.09,0.9950976865652701
0.1,0.994628071771696
0.11,0.9941641734580305
0.12,0.993706471979187
0.13,0.9932554425850872
0.14,0.9928115548757775
0.15,0.9923752722575985
0.16,0.9919470514012356
0.17,0.9915273417025
0.18,0.9911165847467005
0.19,0.9907152137774942
0.2,0.9903236531711064
0.21,0.989942317916831
0.22,0.9895716131047282
0.23,0.989211933421441
0.24,0.9888636626550604
0.25,0.9885271732099675
0.26,0.9882028256325786
0.27,0.9878909681489159
0.28,0.9875919362149188
0.29,0.9873060520803972
0.3,0.9870336243675175
0.31,0.986774947664691
0.32,0.9865303021367178
0.33,0.9862999531520122
0.34,0.9860841509277102
0.35000000000000003,0.9858831301934302
0.36,0.9856971098744246
0.37,0.9855262927948241
0.38,0.985370865401637
0.39,0.9852309975101283
0.4,0.9851068420711534
0.41000000000000003,0.9849985349609808
0.42,0.9849061947940861
0.43,0.9848299227593504
0.44,0.9847698024800443
0.45,0.9847258998979235
0.46,0.9846982631817084
0.47000000000000003,0.9846869226601617
0.48,0.9846918907799214
0.49,0.9847131620881896
0.5,0.9847507132403174
0.51,0.9848045030322667
0.52,0.984874472457875
0.53,0.9849605447907861
0.54,0.985062625690855
0.55,0.9851806033347785
0.56,0.9853143485706436
0.5700000000000001,0.9854637150960365
0.58,0.9856285396592993
0.59,0.9858086422834674
0.6,0.9860038265123794
0.61,0.9862138796783934
0.62,0.98643857319111
0.63,0.9866776628464498
0.64,0.9869308891554024
0.65,0.9871979776917184
0.66,0.9874786394577911
0.67,0.9877725712679344
0.68,0.9880794561482419
0.6900000000000001,0.9883989637521856
0.7000000000000001,0.9887307507910879
0.71,0.9890744614785866
0.72,0.9894297279881941
0.73,0.98979617092304
0.74,0.9901733997968789
0.75,0.9905610135254374
0.76,0.9909586009271716
0.77,0.9913657412325073
0.78,0.9917820046006369
0.79,0.992206952642954
0.8,0.9926401389522113
0.81,0.9930811096365048
0.8200000000000001,0.9935294038571938
0.8300000000000001,0.9939845543698852
0.84,0.994446088067628
0.85,0.9949135265254831
0.86,0.9953863865456541
0.87,0.9958641807023908
0.88,0.9963464178858963
0.89,0.9968326038445026
0.9,0.9973222417243972
0.91,0.9978148326062202
0.92,0.9983098760378756
0.93,0.9988068705629293
0.9400000000000001,0.999305314244002
0.9500000000000001,0.9998047051805904
0.96,1.000304542020783
0.97,1.0008043244663716
0.98,1.001303553770882
0.99,1.0018017332300904
1.0,1.002298368664611
1.01,1.0027929688941783
1.02,1.003285046203277
1.03,1.0037741167977956
1.04,1.004259701252419
1.05,1.0047413249484936
1.06,1.0052185185021292
1.07,1.005690818182333
1.08,1.0061577663189885
1.09,1.0066189117005204
1.1,1.0070738099611134
1.11,1.0075220239573661
1.12,1.0079631241342935
1.1300000000000001,1.0083966888806026
1.1400000000000001,1.0088223048731892
1.1500000000000001,1.00923956741082
1.16,1.0096480807369825
1.17,1.010047458351898
1.18,1.01043732331371
1.19,1.010817308528871
1.2,1.011187057031763
1.21,1.0115462222536011
1.22,1.0118944682806725
1.23,1.0122314701019777
1.24,1.0125569138463475
1.25,1.012870497009111
1.26,1.013171928668399
1.27,1.013460929691175
1.28,1.013737232929078
1.29,1.0140005834041779
1.3,1.0142507384847324
1.31,1.0144874680510487
1.32,1.0147105546515374
1.33,1.0149197936490604
1.34,1.015114993357663
1.35,1.0152959751697794
1.36,1.0154625736740033
1.37,1.0156146367635035
1.3800000000000001,1.0157520257351678
1.3900000000000001,1.0158746153795484
1.4000000000000001,1.0159822940616787
1.41,1.0160749637928266
1.42,1.016152540293241
1.43,1.0162149530459466
1.44,1.0162621453416265
1.45,1.016294074314637
1.46,1.016310710970179
1.47,1.016312040202656
1.48,1.016298060805229
1.49,1.016268785470579
1.5,1.0162242407828805
1.51,1.0161644672009718
1.52,1.0160895190327162
1.53,1.015999464400524
1.54,1.0158943851980127
1.55,1.015774377037763
1.56,1.0156395491901298
1.57,1.0154900245130565
1.58,1.0153259393728375
1.59,1.0151474435557608
1.6,1.014954700170569
1.61,1.0147478855416576
1.62,1.0145271890929348
1.6300000000000001,1.0142928132222615
1.6400000000000001,1.0140449731663779
1.6500000000000001,1.0137838968562345
1.6600000000000001,1.0135098247626277
1.67,1.0132230097320498
1.68,1.0129237168126561
1.69,1.0126122230702534
1.7,1.0122888173942144
1.71,1.0119538002932233
1.72,1.0116074836807625
1.73,1.0112501906502498
1.74,1.0108822552397418
1.75,1.0105040221861261
1.76,1.0101158466687263
1.77,1.0097180940422552
1.78,1.0093111395590584
1.79,1.0088953680806
1.8,1.008471173778152
1.81,1.0080389598226613
1.82,1.0075991380637834
1.83,1.0071521286980778
1.84,1.0066983599263892
1.85,1.0062382676004384
1.86,1.00577229485868
1.87,1.0053008917514894
1.8800000000000001,1.0048245148557728
1.8900000000000001,1.004343626879107
1.9000000000000001,1.003858696253539
1.9100000000000001,1.0033701967192044
1.92,1.0028786068979425
1.93,1.0023844098571082
1.94,1.0018880926638176
