Time,x,y,vx,vy,ax,ay
0.0,0.8990411146076133,0.03000316328667919,-0.09588853923867503,3.000316328667919,-9.588853923867504,0.031632866791881355
0.01,0.897121743457354,0.059981984164898486,-0.19193711502593083,2.997882087821929,-9.60485757872558,-0.24342408459897183
0.02,0.8942402313262389,0.08990879306218306,-0.28815121311151215,2.9926808897284576,-9.621409808558129,-0.5201198093471376
0.03,0.8903948729715215,0.11975570545581551,-0.38453583547172976,2.9846912393632454,-9.63846223602176,-0.798965036521223
0.04,0.8855839206688526,0.1494945692606366,-0.4810952302668935,2.9738863804821065,-9.65593947951637,-1.0804858881138706
0.05,0.8798055945283637,0.17909691024271643,-0.577832614048895,2.960234098207983,-9.673738378200143,-1.3652282274123582
0.06,0.8730580956892502,0.20853387502541432,-0.6747498839113529,2.943696478269788,-9.6917269862458,-1.6537619938195194
0.07,0.8653396225236019,0.23777617125687017,-0.7718473165648342,2.9242296231455853,-9.709743265348122,-1.946685512420236
0.08,0.8566483900189132,0.2667940045106734,-0.8691232504688586,2.9017833253803227,-9.727593390402447,-2.244629776526281
0.09,0.846982652557151,0.29555701149329394,-0.966573746176226,2.8763006982620523,-9.745049570736747,-2.5482627118270234
0.1,0.8363407303675933,0.32403418913185017,-1.0641922189557755,2.847717763855625,-9.761847277954953,-2.858293440642745
0.11,0.8247210400019657,0.35219381911308817,-1.1619690365627606,2.8159629981238012,-9.777681760698512,-3.1754765731823644
0.12,0.8121221292647803,0.38000338743844525,-1.2598910737185354,2.7809568325357095,-9.792203715577484,-3.500616558809166
0.13,0.7985427171304849,0.40742949855046245,-1.3579412134295492,2.742611111201722,-9.80501397110139,-3.834572133398736
0.14,0.783981739293541,0.43443778357264745,-1.4560977836943834,2.7008285022184997,-9.815657026483422,-4.178260898322246
0.15,0.7684384001297497,0.46099280218864724,-1.55433391637912,2.6555018615999786,-9.823613268473677,-4.532664061852125
0.16,0.7519122319993924,0.4870579376682179,-1.6526168130357384,2.60651354795707,-9.82828966566183,-4.898831364290839
0.17,0.7344031629980599,0.5125952845284723,-1.750906900133249,2.553734686025434,-9.829008709751056,-5.277886193163601
0.18,0.7159115944631342,0.5375655283013832,-1.8491568534925653,2.497024377291096,-9.824995335931645,-5.6710308734338355
0.19,0.6964384897773614,0.5619278168654406,-1.9473104685772828,2.4362288564057377,-9.815361508471746,-6.079552088535827
0.2,0.67598547628141,0.5856396227945841,-2.0453013495951375,2.371180592914355,-9.79908810178547,-6.504826349138287
0.21,0.6545549624214264,0.6086565961862028,-2.1430513859983575,2.301697339161869,-9.77500364032198,-6.948325375248578
0.22,0.6321502726232983,0.6309324074588398,-2.2404689798128143,2.2275811272636976,-9.741759381445682,-7.41162118981717
0.23,0.6087758028118766,0.6524185796681403,-2.3374469811421608,2.148617220930052,-9.697800132934658,-7.896390633364572
0.24,0.5844371999914624,0.6730643099881817,-2.4338602820414232,2.064573032004135,-9.641330089926264,-8.404418892591691
0.25,0.5591415698855801,0.6928162801599699,-2.529563010588236,1.97519701717882,-9.570272854681278,-8.937601482531516
0.26,0.5328977173130053,0.7116184559397737,-2.624385257257475,1.880217577980376,-9.48222466692391,-9.497943919844388
0.27,0.5057164247679471,0.7294118759136696,-2.718129254505822,1.7793419973895892,-9.374399724834701,-10.08755805907869
0.28,0.47761077559071274,0.7461344305161325,-2.8105649177234366,1.6722554602462805,-9.243566321761447,-10.70865371433087
0.29,0.4485965291764422,0.7617206327455629,-2.901424641427055,1.5586202229430435,-9.085972370361848,-11.363523730323703
0.3,0.4186925568871838,0.7761013829682797,-2.9903972289258407,1.4380750222716803,-8.897258749878564,-12.054520067136329
